model,technique,task,metric,value
CatBoost,int_anon,job_state,accuracy,0.91
CatBoost,int_anon,run_time,MAE,394.3191
CatBoost,sb_anon,job_state,accuracy,0.91
CatBoost,sb_anon,run_time,MAE,377.7861
CatBoost,sb_anon_template1,job_state,accuracy,0.91
CatBoost,sb_anon_template1,run_time,MAE,377.8158
CatBoost,sb_anon_template2,job_state,accuracy,0.91
CatBoost,sb_anon_template2,run_time,MAE,378.22
CatBoost,sb_anon_template3,job_state,accuracy,0.91
CatBoost,sb_anon_template3,run_time,MAE,378.1013
CatBoost,sb_anon_template4,job_state,accuracy,0.91
CatBoost,sb_anon_template4,run_time,MAE,378.0316
CatBoost,sb_anon_template5,job_state,accuracy,0.91
CatBoost,sb_anon_template5,run_time,MAE,378.0026
KNN,int_anon,job_state,accuracy,0.88
KNN,int_anon,run_time,MAE,72.3597
KNN,sb_anon,job_state,accuracy,0.88
KNN,sb_anon,run_time,MAE,71.7749
KNN,sb_anon_template1,job_state,accuracy,0.88
KNN,sb_anon_template1,run_time,MAE,74.2599
KNN,sb_anon_template2,job_state,accuracy,0.88
KNN,sb_anon_template2,run_time,MAE,71.687
KNN,sb_anon_template3,job_state,accuracy,0.88
KNN,sb_anon_template3,run_time,MAE,73.1625
KNN,sb_anon_template4,job_state,accuracy,0.88
KNN,sb_anon_template4,run_time,MAE,71.881
KNN,sb_anon_template5,job_state,accuracy,0.88
KNN,sb_anon_template5,run_time,MAE,71.9323
RF,int_anon,job_state,accuracy,0.91
RF,int_anon,run_time,MAE,374.5926
RF,sb_anon,job_state,accuracy,0.91
RF,sb_anon,run_time,MAE,377.3875
RF,sb_anon_template1,job_state,accuracy,0.91
RF,sb_anon_template1,run_time,MAE,378.4843
RF,sb_anon_template2,job_state,accuracy,0.91
RF,sb_anon_template2,run_time,MAE,378.0315
RF,sb_anon_template3,job_state,accuracy,0.91
RF,sb_anon_template3,run_time,MAE,376.9474
RF,sb_anon_template4,job_state,accuracy,0.91
RF,sb_anon_template4,run_time,MAE,376.9174
RF,sb_anon_template5,job_state,accuracy,0.91
RF,sb_anon_template5,run_time,MAE,379.9894
XGB,int_anon,job_state,accuracy,0.91
XGB,int_anon,run_time,MAE,313.7199
XGB,sb_anon,job_state,accuracy,0.91
XGB,sb_anon,run_time,MAE,377.222
XGB,sb_anon_template1,job_state,accuracy,0.91
XGB,sb_anon_template1,run_time,MAE,377.8983
XGB,sb_anon_template2,job_state,accuracy,0.91
XGB,sb_anon_template2,run_time,MAE,377.6064
XGB,sb_anon_template3,job_state,accuracy,0.91
XGB,sb_anon_template3,run_time,MAE,378.221
XGB,sb_anon_template4,job_state,accuracy,0.91
XGB,sb_anon_template4,run_time,MAE,377.7797
XGB,sb_anon_template5,job_state,accuracy,0.91
XGB,sb_anon_template5,run_time,MAE,377.6454
